assay,cellType,dataSubtype,dataType,diagnosis,individualID,organ,platform,sex,species,specimenID,tissue,experimentalCondition,experimentalTimePoint,genePerturbationTechnology,genePerturbationType,genePerturbed,modelSystem,timePointUnit,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,compoundDoseUnit,compoundName,drugScreenType,secondCompoundName,consortium,fileFormat,fundingAgency,resourceType,libraryPrep,readLength,readPairOrientation,readStrandOrigin,runType,nf1Genotype,nf2Genotype,study,id,name,createdOn,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,dataFileHandleId,studyId,studyName,readPair,tumorType,path
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225857,NF_Set2_0750_03Aug2015.RAW,1473713435764,3345394,fa8e218d-2118-4a7a-a36c-dffccbb6768c,file,1,syn7225549,syn4984617,syn4984604,1651536238174,3434950,13121654,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set2_0750_03Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7225934,NF_Set2_1000_03Aug2015.RAW,1473713508563,3345394,ecc2b17b-91f2-443a-9a33-20cc801a62ca,file,1,syn7225549,syn4984617,syn4984604,1651536238403,3434950,13121724,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set2_1000_03Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226446,NF_Set3_0025_07Aug2015.RAW,1473719255751,3345394,49dae2f9-5d15-40f8-b9a8-92c6fa5c1f7c,file,1,syn7225549,syn4984617,syn4984604,1651536238613,3434950,13122378,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0025_07Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226447,NF_Set3_0050_07Aug2015.RAW,1473719305245,3345394,e2a23e5a-be1c-481f-915f-53623bc4cfb3,file,1,syn7225549,syn4984617,syn4984604,1651536238820,3434950,13122379,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0050_07Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226448,NF_Set3_0075_07Aug2015.RAW,1473719354022,3345394,ccae9c44-666a-4531-aee3-4fd28375b9de,file,1,syn7225549,syn4984617,syn4984604,1651536239043,3434950,13122380,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0075_07Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226449,NF_Set3_0100_07Aug2015.RAW,1473719410016,3345394,fcf3db85-207a-4dc8-a716-8914dccae6fc,file,1,syn7225549,syn4984617,syn4984604,1651536239248,3434950,13122381,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0100_07Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226450,NF_Set3_0150_07Aug2015.RAW,1473719460962,3345394,7803cdc2-d2f6-4dba-9fb3-c69a27332458,file,1,syn7225549,syn4984617,syn4984604,1651536239449,3434950,13122382,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0150_07Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226451,NF_Set3_0200_07Aug2015.RAW,1473719515837,3345394,60661070-2d2b-4efa-b9f5-e8f76b1f8743,file,1,syn7225549,syn4984617,syn4984604,1651536239676,3434950,13122387,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0200_07Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226452,NF_Set3_0250_07Aug2015.RAW,1473719588850,3345394,81dd13ed-a579-4696-b9fd-ab08b3da23bf,file,1,syn7225549,syn4984617,syn4984604,1651536239900,3434950,13122390,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0250_07Aug2015.RAW
MudPIT,NA,raw,proteomics,Neurofibromatosis type 1,NA,skin,nanoESI-LTQ-Orbitrap XL,NA,Homo sapiens,NA,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn7226453,NF_Set3_0300_07Aug2015.RAW,1473719658255,3345394,00cc54c4-e78d-4400-a8d1-510b47d48488,file,1,syn7225549,syn4984617,syn4984604,1651536240120,3434950,13122391,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/Proteomics/RAW MS Files/NF_Set3_0300_07Aug2015.RAW
