name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,modifiedBy,studyName,platform,Component,assay,species,fundingAgency,isCellLine,initiative,tissue,progressReportNumber,comments
SRR19761315_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761315_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761316_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761316_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761317_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761317_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761318_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761318_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761319_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761319_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761320_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761320_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761321_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761321_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761322_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761322_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761323_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761323_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761324_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761324_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761325_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761325_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761326_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761326_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761327_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761327_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761328_1.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
SRR19761328_2.fastq.gz,,,,,,,syn11681835,,3421893,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST),,,,,NTAP,,Francis S. Collins Scholars Program,,,
