name,dataSubtype,dataType,fileFormat,individualID,resourceType,studyId,studyName,platform,Component,assay,species,fundingAgency,initiative
Image_759.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_760_Neg.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_761.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_762.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_751_erbb3sc81455.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_752.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_753.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_754.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
Image_755.tif,representative,image,tif,Not applicable/Cell line,result,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,Zeiss LSM,ImagingAssayTemplate,immunocytochemistry,Homo sapiens,CTF,Young Investigator Award
synapse_storage_manifest_imagingassaytemplate.csv,,,,,,syn22267330,Malignant Peripheral Nerve Sheath Tumors Achilles Heel: Combinatorial Targeting of ERBB3 and Calcium Signaling,,ImagingAssayTemplate,,,CTF,Young Investigator Award
