name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf1Genotype,modifiedBy,diagnosis,studyName,platform,assay,species,fundingAgency,organ,tissue
NF_Set4_0025_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0050_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0075_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0100_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0150_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0200_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0250_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0300_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0500_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_0750_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set4_1000_08Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0025_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0050_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0075_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0100_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set5_0150_11Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
